1675177224.067167 client started (8017): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1675177224.067251 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1675177224.067435 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1675177224.067470 flags are 0x18010000
1675177224.067479 socket is /private/tmp/tmux-501/default
1675177224.067493 trying connect
1675177224.067517 connect failed: No such file or directory
1675177224.067538 lock file is /private/tmp/tmux-501/default.lock
1675177224.067622 flock succeeded
1675177224.067632 got lock (6)
1675177224.067641 trying connect
1675177224.067657 connect failed: No such file or directory
1675177224.068179 add peer 0x150048000: 7 (0x0)
1675177224.072823 sending message 100 to peer 0x150048000 (4 bytes)
1675177224.072837 sending message 111 to peer 0x150048000 (8 bytes)
1675177224.072846 sending message 101 to peer 0x150048000 (15 bytes)
1675177224.072853 sending message 109 to peer 0x150048000 (4 bytes)
1675177224.072861 sending message 102 to peer 0x150048000 (13 bytes)
1675177224.072870 sending message 108 to peer 0x150048000 (54 bytes)
1675177224.072879 sending message 112 to peer 0x150048000 (58 bytes)
1675177224.072886 sending message 112 to peer 0x150048000 (5 bytes)
1675177224.072894 sending message 112 to peer 0x150048000 (5 bytes)
1675177224.072901 sending message 112 to peer 0x150048000 (6 bytes)
1675177224.072911 sending message 112 to peer 0x150048000 (6 bytes)
1675177224.072919 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.072926 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.072934 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.072942 sending message 112 to peer 0x150048000 (14 bytes)
1675177224.072950 sending message 112 to peer 0x150048000 (19 bytes)
1675177224.072957 sending message 112 to peer 0x150048000 (11 bytes)
1675177224.072965 sending message 112 to peer 0x150048000 (10 bytes)
1675177224.072973 sending message 112 to peer 0x150048000 (15 bytes)
1675177224.072980 sending message 112 to peer 0x150048000 (21 bytes)
1675177224.072988 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.072996 sending message 112 to peer 0x150048000 (7 bytes)
1675177224.073003 sending message 112 to peer 0x150048000 (13 bytes)
1675177224.073011 sending message 112 to peer 0x150048000 (7 bytes)
1675177224.073018 sending message 112 to peer 0x150048000 (13 bytes)
