1675177234.066316 server started (8155): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1675177234.066361 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1675177234.066377 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1675177234.066461 input_key_build: 0x10e003 (PasteStart) is \033[200~
1675177234.066472 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1675177234.066497 input_key_build: 0x10e195 (F1) is \033OP
1675177234.066507 input_key_build: 0x10e196 (F2) is \033OQ
1675177234.066515 input_key_build: 0x10e197 (F3) is \033OR
1675177234.066523 input_key_build: 0x10e198 (F4) is \033OS
1675177234.066531 input_key_build: 0x10e199 (F5) is \033[15~
1675177234.066539 input_key_build: 0x10e19a (F6) is \033[17~
1675177234.066547 input_key_build: 0x10e19b (F7) is \033[18~
1675177234.066555 input_key_build: 0x10e19c (F8) is \033[19~
1675177234.066566 input_key_build: 0x10e19d (F9) is \033[20~
1675177234.066575 input_key_build: 0x10e19e (F10) is \033[21~
1675177234.066583 input_key_build: 0x10e19f (F11) is \033[23~
1675177234.066590 input_key_build: 0x10e1a0 (F12) is \033[24~
1675177234.066598 input_key_build: 0x10e1a1 (IC) is \033[2~
1675177234.066606 input_key_build: 0x10e1a2 (DC) is \033[3~
1675177234.066614 input_key_build: 0x10e1a3 (Home) is \033[1~
1675177234.066622 input_key_build: 0x10e1a4 (End) is \033[4~
1675177234.066630 input_key_build: 0x10e1a5 (NPage) is \033[6~
1675177234.066638 input_key_build: 0x10e1a6 (PPage) is \033[5~
1675177234.066645 input_key_build: 0x10e1a7 (BTab) is \033[Z
1675177234.066653 input_key_build: 0x10e1a8 (Up) is \033[A
1675177234.066661 input_key_build: 0x10e1a9 (Down) is \033[B
1675177234.066669 input_key_build: 0x10e1aa (Left) is \033[D
1675177234.066676 input_key_build: 0x10e1ab (Right) is \033[C
1675177234.066684 input_key_build: 0x10e1ac (KP/) is /
1675177234.066692 input_key_build: 0x10e1ad (KP*) is *
1675177234.066700 input_key_build: 0x10e1ae (KP-) is -
1675177234.066708 input_key_build: 0x10e1af (KP7) is 7
1675177234.066716 input_key_build: 0x10e1b0 (KP8) is 8
1675177234.066724 input_key_build: 0x10e1b1 (KP9) is 9
1675177234.066733 input_key_build: 0x10e1b2 (KP+) is +
1675177234.066743 input_key_build: 0x10e1b3 (KP4) is 4
1675177234.066752 input_key_build: 0x10e1b4 (KP5) is 5
1675177234.066761 input_key_build: 0x10e1b5 (KP6) is 6
1675177234.066768 input_key_build: 0x10e1b6 (KP1) is 1
1675177234.066776 input_key_build: 0x10e1b7 (KP2) is 2
1675177234.066784 input_key_build: 0x10e1b8 (KP3) is 3
1675177234.066792 input_key_build: 0x10e1b9 (KPEnter) is \n
1675177234.066799 input_key_build: 0x10e1ba (KP0) is 0
1675177234.066807 input_key_build: 0x10e1bb (KP.) is .
1675177234.066815 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1675177234.066823 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1675177234.066831 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1675177234.066839 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1675177234.066847 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1675177234.066855 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1675177234.066863 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1675177234.066871 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1675177234.066879 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1675177234.066887 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1675177234.066895 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1675177234.066903 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1675177234.066911 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1675177234.066919 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1675177234.066928 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1675177234.066936 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1675177234.066944 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1675177234.066951 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1675177234.066959 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1675177234.066979 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1675177234.066985 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1675177234.066991 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1675177234.066997 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1675177234.067002 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1675177234.067008 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1675177234.067013 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1675177234.067019 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1675177234.067025 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1675177234.067031 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1675177234.067037 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1675177234.067042 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1675177234.067048 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1675177234.067053 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1675177234.067059 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1675177234.067065 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1675177234.067071 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1675177234.067078 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1675177234.067083 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1675177234.067090 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1675177234.067096 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1675177234.067103 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1675177234.067109 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1675177234.067116 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1675177234.067123 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1675177234.067128 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1675177234.067134 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1675177234.067141 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1675177234.067147 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1675177234.067154 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1675177234.067160 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1675177234.067167 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1675177234.067173 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
